iter	Passed	Remaining
0	15	15746
1	19	9704
2	23	7794
3	27	6813
4	31	6228
5	34	5781
6	38	5475
7	42	5243
8	45	5055
9	49	4901
10	53	4792
11	56	4683
12	60	4590
13	64	4511
14	67	4445
15	71	4390
16	74	4332
17	78	4284
18	82	4241
19	85	4203
20	89	4162
21	92	4130
22	96	4097
23	100	4067
24	103	4041
25	107	4018
26	110	3994
27	114	3974
28	118	3951
29	121	3932
30	125	3912
31	128	3895
32	132	3879
33	135	3863
34	139	3847
35	143	3832
36	146	3819
37	150	3805
38	153	3791
39	157	3780
40	161	3769
41	164	3757
42	168	3753
43	172	3749
44	176	3742
45	180	3733
46	183	3727
47	187	3721
48	191	3716
49	195	3708
50	199	3703
51	202	3697
52	206	3698
53	210	3688
54	214	3678
55	217	3670
56	221	3664
57	225	3655
58	228	3647
59	232	3639
60	235	3632
61	239	3624
62	243	3617
63	246	3610
64	250	3604
65	254	3597
66	257	3590
67	261	3584
68	265	3578
69	268	3571
70	272	3564
71	276	3558
72	279	3551
73	283	3546
74	286	3539
75	290	3534
76	294	3528
77	297	3520
78	301	3514
79	305	3508
80	308	3502
81	312	3495
82	315	3489
83	319	3483
84	323	3477
85	326	3470
86	330	3465
87	333	3460
88	337	3457
89	341	3450
90	360	3598
91	363	3591
92	367	3584
93	371	3577
94	391	3726
95	394	3716
96	398	3707
97	401	3698
98	405	3688
99	408	3680
100	412	3671
101	415	3661
102	419	3653
103	423	3644
104	426	3636
105	430	3628
106	433	3620
107	437	3612
108	440	3603
109	444	3594
110	447	3586
111	451	3581
112	455	3574
113	459	3567
114	462	3559
115	466	3552
116	469	3545
117	473	3539
118	477	3532
119	481	3528
120	484	3521
121	488	3515
122	492	3508
123	496	3506
124	499	3499
125	503	3492
126	507	3486
127	510	3480
128	514	3477
129	518	3471
130	522	3466
131	526	3459
132	529	3452
133	533	3448
134	538	3447
135	542	3444
136	546	3442
137	550	3438
138	554	3432
139	557	3427
140	561	3421
141	565	3416
142	569	3410
143	572	3405
144	576	3400
145	580	3395
146	595	3458
147	599	3451
148	603	3445
149	606	3438
150	610	3432
151	614	3426
152	617	3420
153	621	3414
154	625	3407
155	628	3400
156	632	3394
157	636	3389
158	639	3382
159	643	3377
160	646	3370
161	650	3365
162	654	3360
163	658	3354
164	661	3349
165	665	3343
166	669	3338
167	672	3332
168	676	3327
169	680	3321
170	684	3317
171	687	3311
172	691	3306
173	695	3300
174	699	3296
175	702	3291
176	706	3287
177	710	3282
178	714	3277
179	718	3272
180	722	3267
181	725	3261
182	729	3256
183	732	3250
184	736	3244
185	740	3240
186	744	3234
187	754	3259
188	758	3255
189	762	3249
190	765	3243
191	769	3237
192	773	3233
193	776	3227
194	780	3221
195	784	3216
196	787	3211
197	791	3205
198	795	3200
199	798	3194
200	802	3189
201	806	3184
202	809	3179
203	813	3174
204	817	3169
205	821	3164
206	824	3159
207	828	3154
208	832	3150
209	836	3145
210	839	3139
211	843	3134
212	846	3129
213	850	3123
214	854	3118
215	857	3113
216	861	3109
217	865	3103
218	868	3098
219	872	3093
220	876	3087
221	879	3082
222	883	3077
223	886	3071
224	890	3066
225	893	3061
226	897	3055
227	901	3050
228	904	3045
229	908	3040
230	911	3035
231	915	3030
232	918	3025
233	922	3020
234	926	3017
235	930	3012
236	934	3007
237	937	3002
238	941	2997
239	945	2993
240	948	2988
241	952	2983
242	956	2979
243	960	2974
244	963	2969
245	967	2965
246	971	2961
247	975	2957
248	978	2951
249	982	2947
250	986	2942
251	990	2939
252	993	2934
253	997	2930
254	1001	2925
255	1005	2921
256	1008	2916
257	1012	2912
258	1016	2908
259	1020	2903
260	1023	2898
261	1027	2894
262	1031	2889
263	1034	2885
264	1038	2880
265	1042	2876
266	1046	2872
267	1049	2867
268	1053	2863
269	1057	2859
270	1061	2854
271	1064	2849
272	1068	2844
273	1072	2840
274	1075	2836
275	1079	2831
276	1083	2826
277	1086	2822
278	1090	2818
279	1094	2813
280	1097	2808
281	1101	2804
282	1104	2799
283	1108	2794
284	1112	2790
285	1116	2787
286	1120	2783
287	1124	2779
288	1127	2775
289	1131	2770
290	1135	2766
291	1138	2761
292	1142	2756
293	1145	2751
294	1149	2747
295	1153	2742
296	1156	2738
297	1160	2733
298	1164	2729
299	1167	2724
300	1171	2720
301	1174	2715
302	1178	2711
303	1182	2706
304	1185	2701
305	1189	2697
306	1193	2693
307	1197	2689
308	1200	2685
309	1204	2681
310	1208	2677
311	1212	2673
312	1216	2669
313	1219	2664
314	1223	2660
315	1226	2655
316	1230	2651
317	1234	2646
318	1237	2642
319	1241	2638
320	1245	2633
321	1248	2629
322	1252	2624
323	1256	2620
324	1259	2616
325	1263	2611
326	1266	2607
327	1270	2603
328	1274	2598
329	1277	2594
330	1281	2589
331	1284	2585
332	1288	2580
333	1292	2576
334	1295	2572
335	1299	2567
336	1303	2563
337	1306	2559
338	1310	2555
339	1313	2550
340	1317	2546
341	1321	2541
342	1324	2537
343	1328	2533
344	1332	2529
345	1335	2524
346	1339	2521
347	1343	2516
348	1347	2513
349	1351	2509
350	1355	2505
351	1358	2501
352	1363	2498
353	1366	2494
354	1370	2490
355	1374	2486
356	1377	2481
357	1381	2478
358	1385	2473
359	1389	2469
360	1393	2466
361	1397	2463
362	1401	2458
363	1404	2454
364	1408	2450
365	1412	2446
366	1415	2441
367	1419	2437
368	1423	2434
369	1427	2429
370	1430	2425
371	1434	2421
372	1438	2417
373	1441	2413
374	1445	2408
375	1448	2404
376	1452	2400
377	1455	2395
378	1459	2391
379	1463	2387
380	1466	2382
381	1470	2378
382	1473	2374
383	1477	2369
384	1480	2365
385	1484	2361
386	1488	2357
387	1491	2353
388	1495	2349
389	1499	2345
390	1503	2341
391	1506	2336
392	1510	2332
393	1513	2328
394	1517	2324
395	1521	2320
396	1524	2316
397	1528	2312
398	1532	2308
399	1536	2304
400	1539	2300
401	1543	2296
402	1547	2292
403	1551	2288
404	1554	2284
405	1559	2281
406	1562	2276
407	1566	2272
408	1570	2268
409	1573	2264
410	1577	2260
411	1580	2256
412	1584	2251
413	1587	2247
414	1591	2243
415	1595	2239
416	1598	2235
417	1602	2231
418	1605	2226
419	1609	2222
420	1612	2218
421	1616	2214
422	1620	2210
423	1624	2206
424	1627	2202
425	1631	2198
426	1635	2194
427	1638	2190
428	1642	2186
429	1646	2182
430	1650	2178
431	1653	2174
432	1657	2170
433	1660	2166
434	1664	2162
435	1668	2157
436	1672	2154
437	1675	2149
438	1679	2145
439	1682	2141
440	1686	2137
441	1689	2133
442	1693	2129
443	1697	2125
444	1701	2122
445	1705	2118
446	1709	2114
447	1712	2110
448	1716	2106
449	1720	2102
450	1724	2099
451	1728	2095
452	1732	2091
453	1736	2087
